,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
202,מאיר,רבין ק. בילינסון,סוראסקי,קפלן,רבין ק. השרון,המרכזי בעמק,שמיר,הלל יפה,וולפסון,שערי צדק,"רמב""ם",בני ציון,אסותא אשדוד,הדסה,הכרמל,סורוקה,לניאדו,יוספטל,מעייני הישועה,מ.ר. צפון (פוריה),נצרת,ברזילי,נהריה,זיו צפת,שיבא
203,סוראסקי,הלל יפה,מאיר,המרכזי בעמק,סורוקה,אסותא אשדוד,רבין ק. השרון,הכרמל,שמיר,קפלן,שערי צדק,"רמב""ם",מעייני הישועה,וולפסון,בני ציון,יוספטל,הדסה,לניאדו,ברזילי,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,שיבא,רבין ק. בילינסון
204,"רמב""ם",קפלן,רבין ק. בילינסון,אסותא אשדוד,סוראסקי,שיבא,נצרת,רבין ק. השרון,הלל יפה,שמיר,מעייני הישועה,הדסה,בני ציון,שערי צדק,המרכזי בעמק,יוספטל,זיו צפת,סורוקה,מאיר,לניאדו,ברזילי,נהריה,מ.ר. צפון (פוריה),הכרמל,וולפסון
205,הכרמל,שיבא,קפלן,שמיר,סוראסקי,רבין ק. בילינסון,מאיר,רבין ק. השרון,הלל יפה,מעייני הישועה,וולפסון,"רמב""ם",אסותא אשדוד,בני ציון,המרכזי בעמק,שערי צדק,סורוקה,יוספטל,הדסה,לניאדו,נהריה,ברזילי,מ.ר. צפון (פוריה),נצרת,זיו צפת
206,סוראסקי,אסותא אשדוד,רבין ק. בילינסון,הלל יפה,שמיר,"רמב""ם",וולפסון,קפלן,רבין ק. השרון,הכרמל,שיבא,הדסה,בני ציון,מעייני הישועה,לניאדו,סורוקה,יוספטל,שערי צדק,המרכזי בעמק,נצרת,נהריה,מ.ר. צפון (פוריה),ברזילי,זיו צפת,מאיר
207,סורוקה,הדסה,הכרמל,שיבא,סוראסקי,לניאדו,מאיר,רבין ק. בילינסון,וולפסון,קפלן,בני ציון,הלל יפה,שמיר,"רמב""ם",שערי צדק,המרכזי בעמק,מעייני הישועה,יוספטל,ברזילי,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,רבין ק. השרון,אסותא אשדוד
208,סוראסקי,קפלן,רבין ק. בילינסון,מאיר,אסותא אשדוד,שיבא,וולפסון,שמיר,יוספטל,הלל יפה,הכרמל,הדסה,"רמב""ם",מעייני הישועה,סורוקה,בני ציון,המרכזי בעמק,שערי צדק,לניאדו,ברזילי,נצרת,נהריה,זיו צפת,מ.ר. צפון (פוריה),רבין ק. השרון
209,מאיר,הדסה,רבין ק. בילינסון,סוראסקי,הלל יפה,וולפסון,שיבא,ברזילי,קפלן,שמיר,"רמב""ם",שערי צדק,יוספטל,בני ציון,אסותא אשדוד,הכרמל,המרכזי בעמק,סורוקה,מעייני הישועה,לניאדו,נצרת,נהריה,מ.ר. צפון (פוריה),רבין ק. השרון,זיו צפת
210,המרכזי בעמק,סורוקה,שיבא,מאיר,רבין ק. השרון,הכרמל,אסותא אשדוד,שמיר,סוראסקי,מעייני הישועה,בני ציון,קפלן,הדסה,לניאדו,שערי צדק,יוספטל,הלל יפה,נהריה,נצרת,ברזילי,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם",וולפסון,רבין ק. בילינסון
211,סוראסקי,קפלן,"רמב""ם",הדסה,הלל יפה,רבין ק. השרון,הכרמל,שיבא,שמיר,בני ציון,לניאדו,מעייני הישועה,שערי צדק,סורוקה,המרכזי בעמק,יוספטל,זיו צפת,אסותא אשדוד,ברזילי,נהריה,נצרת,מ.ר. צפון (פוריה),מאיר,וולפסון,רבין ק. בילינסון
212,וולפסון,רבין ק. בילינסון,לניאדו,שמיר,רבין ק. השרון,הלל יפה,שיבא,אסותא אשדוד,יוספטל,"רמב""ם",הדסה,בני ציון,קפלן,סורוקה,מאיר,שערי צדק,המרכזי בעמק,ברזילי,מעייני הישועה,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,סוראסקי,הכרמל
213,הכרמל,הדסה,רבין ק. בילינסון,וולפסון,רבין ק. השרון,שמיר,מאיר,אסותא אשדוד,"רמב""ם",שערי צדק,הלל יפה,סורוקה,מעייני הישועה,קפלן,יוספטל,בני ציון,המרכזי בעמק,לניאדו,זיו צפת,נצרת,ברזילי,מ.ר. צפון (פוריה),נהריה,שיבא,סוראסקי
214,"רמב""ם",בני ציון,שמיר,רבין ק. השרון,סוראסקי,הלל יפה,קפלן,מאיר,הכרמל,אסותא אשדוד,לניאדו,וולפסון,הדסה,יוספטל,סורוקה,שערי צדק,המרכזי בעמק,מעייני הישועה,נהריה,ברזילי,נצרת,מ.ר. צפון (פוריה),זיו צפת,שיבא,רבין ק. בילינסון
215,אסותא אשדוד,שערי צדק,סוראסקי,הכרמל,מאיר,רבין ק. בילינסון,קפלן,רבין ק. השרון,הלל יפה,לניאדו,סורוקה,הדסה,"רמב""ם",בני ציון,המרכזי בעמק,מעייני הישועה,שמיר,יוספטל,ברזילי,מ.ר. צפון (פוריה),נצרת,נהריה,זיו צפת,שיבא,וולפסון
216,שיבא,וולפסון,הכרמל,רבין ק. בילינסון,סוראסקי,הלל יפה,מאיר,אסותא אשדוד,הדסה,שמיר,"רמב""ם",רבין ק. השרון,שערי צדק,סורוקה,המרכזי בעמק,מעייני הישועה,בני ציון,לניאדו,מ.ר. צפון (פוריה),יוספטל,נצרת,ברזילי,נהריה,זיו צפת,קפלן
217,הכרמל,זיו צפת,שיבא,רבין ק. בילינסון,מאיר,סוראסקי,אסותא אשדוד,רבין ק. השרון,הלל יפה,הדסה,בני ציון,המרכזי בעמק,קפלן,מעייני הישועה,סורוקה,יוספטל,שערי צדק,שמיר,נהריה,לניאדו,נצרת,ברזילי,מ.ר. צפון (פוריה),"רמב""ם",וולפסון
218,שמיר,בני ציון,רבין ק. בילינסון,שיבא,מאיר,קפלן,סורוקה,רבין ק. השרון,אסותא אשדוד,הלל יפה,סוראסקי,מעייני הישועה,"רמב""ם",הדסה,וולפסון,יוספטל,המרכזי בעמק,שערי צדק,זיו צפת,לניאדו,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),הכרמל
219,המרכזי בעמק,הלל יפה,סורוקה,אסותא אשדוד,סוראסקי,"רמב""ם",שמיר,רבין ק. בילינסון,קפלן,לניאדו,הכרמל,הדסה,וולפסון,מ.ר. צפון (פוריה),שערי צדק,מעייני הישועה,ברזילי,בני ציון,יוספטל,נהריה,נצרת,רבין ק. השרון,זיו צפת,שיבא,מאיר
220,שערי צדק,בני ציון,סוראסקי,רבין ק. בילינסון,המרכזי בעמק,אסותא אשדוד,שמיר,וולפסון,הכרמל,מאיר,יוספטל,רבין ק. השרון,סורוקה,"רמב""ם",הדסה,ברזילי,לניאדו,נהריה,מעייני הישועה,נצרת,זיו צפת,מ.ר. צפון (פוריה),שיבא,הלל יפה,קפלן
221,רבין ק. בילינסון,בני ציון,רבין ק. השרון,סוראסקי,הכרמל,וולפסון,סורוקה,שמיר,"רמב""ם",שערי צדק,הדסה,הלל יפה,קפלן,מאיר,מעייני הישועה,המרכזי בעמק,יוספטל,מ.ר. צפון (פוריה),לניאדו,ברזילי,נצרת,נהריה,אסותא אשדוד,זיו צפת,שיבא
222,המרכזי בעמק,רבין ק. בילינסון,הלל יפה,מאיר,וולפסון,בני ציון,אסותא אשדוד,רבין ק. השרון,הכרמל,קפלן,הדסה,ברזילי,שמיר,מעייני הישועה,שערי צדק,סורוקה,לניאדו,יוספטל,מ.ר. צפון (פוריה),נהריה,נצרת,זיו צפת,שיבא,"רמב""ם",סוראסקי
223,שערי צדק,בני ציון,הלל יפה,שמיר,הדסה,שיבא,רבין ק. השרון,אסותא אשדוד,מאיר,קפלן,וולפסון,"רמב""ם",הכרמל,סורוקה,יוספטל,מעייני הישועה,המרכזי בעמק,נצרת,לניאדו,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,רבין ק. בילינסון,סוראסקי
224,רבין ק. בילינסון,שיבא,יוספטל,המרכזי בעמק,בני ציון,סוראסקי,רבין ק. השרון,מאיר,"רמב""ם",שמיר,הדסה,סורוקה,מעייני הישועה,קפלן,אסותא אשדוד,הלל יפה,שערי צדק,לניאדו,הכרמל,ברזילי,נצרת,נהריה,זיו צפת,מ.ר. צפון (פוריה),וולפסון
225,רבין ק. בילינסון,שערי צדק,הכרמל,אסותא אשדוד,שמיר,סוראסקי,וולפסון,הלל יפה,קפלן,רבין ק. השרון,מעייני הישועה,בני ציון,הדסה,לניאדו,יוספטל,סורוקה,המרכזי בעמק,זיו צפת,נצרת,מ.ר. צפון (פוריה),ברזילי,מאיר,נהריה,שיבא,"רמב""ם"
226,הדסה,מאיר,הלל יפה,רבין ק. השרון,רבין ק. בילינסון,אסותא אשדוד,"רמב""ם",הכרמל,שמיר,וולפסון,קפלן,המרכזי בעמק,שיבא,שערי צדק,סורוקה,בני ציון,יוספטל,מעייני הישועה,נצרת,לניאדו,ברזילי,נהריה,זיו צפת,מ.ר. צפון (פוריה),סוראסקי
227,סוראסקי,רבין ק. בילינסון,מאיר,הכרמל,שיבא,שמיר,רבין ק. השרון,אסותא אשדוד,קפלן,לניאדו,מעייני הישועה,הלל יפה,"רמב""ם",בני ציון,סורוקה,הדסה,המרכזי בעמק,יוספטל,נצרת,נהריה,ברזילי,מ.ר. צפון (פוריה),זיו צפת,שערי צדק,וולפסון
228,סוראסקי,סורוקה,שמיר,מאיר,הכרמל,שערי צדק,קפלן,רבין ק. בילינסון,שיבא,הלל יפה,אסותא אשדוד,וולפסון,"רמב""ם",לניאדו,המרכזי בעמק,מעייני הישועה,הדסה,יוספטל,בני ציון,נהריה,נצרת,ברזילי,מ.ר. צפון (פוריה),זיו צפת,רבין ק. השרון
229,רבין ק. בילינסון,קפלן,מאיר,שערי צדק,סוראסקי,אסותא אשדוד,וולפסון,הדסה,מעייני הישועה,שיבא,"רמב""ם",שמיר,בני ציון,הלל יפה,סורוקה,המרכזי בעמק,הכרמל,יוספטל,לניאדו,נצרת,נהריה,ברזילי,מ.ר. צפון (פוריה),זיו צפת,רבין ק. השרון
230,סוראסקי,רבין ק. בילינסון,"רמב""ם",שיבא,מאיר,רבין ק. השרון,שמיר,קפלן,וולפסון,לניאדו,הדסה,הלל יפה,סורוקה,מעייני הישועה,בני ציון,יוספטל,שערי צדק,נצרת,הכרמל,המרכזי בעמק,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,אסותא אשדוד
231,רבין ק. השרון,וולפסון,הלל יפה,אסותא אשדוד,סוראסקי,מאיר,מעייני הישועה,רבין ק. בילינסון,שערי צדק,שמיר,ברזילי,הדסה,סורוקה,בני ציון,הכרמל,יוספטל,קפלן,המרכזי בעמק,לניאדו,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם",שיבא
232,סוראסקי,וולפסון,מאיר,יוספטל,רבין ק. בילינסון,קפלן,שמיר,הלל יפה,רבין ק. השרון,שערי צדק,המרכזי בעמק,לניאדו,הדסה,אסותא אשדוד,סורוקה,בני ציון,ברזילי,הכרמל,מעייני הישועה,נצרת,נהריה,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם",שיבא
233,רבין ק. השרון,אסותא אשדוד,הלל יפה,שיבא,וולפסון,רבין ק. בילינסון,שמיר,ברזילי,מאיר,קפלן,שערי צדק,"רמב""ם",הדסה,הכרמל,יוספטל,המרכזי בעמק,מעייני הישועה,בני ציון,סורוקה,לניאדו,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,סוראסקי
234,שיבא,שערי צדק,אסותא אשדוד,מאיר,קפלן,וולפסון,רבין ק. בילינסון,רבין ק. השרון,הכרמל,הדסה,יוספטל,בני ציון,סורוקה,סוראסקי,"רמב""ם",הלל יפה,המרכזי בעמק,מעייני הישועה,לניאדו,זיו צפת,נצרת,ברזילי,נהריה,שמיר,מ.ר. צפון (פוריה)
235,"רמב""ם",סורוקה,הלל יפה,סוראסקי,רבין ק. בילינסון,מאיר,אסותא אשדוד,רבין ק. השרון,לניאדו,קפלן,הדסה,וולפסון,הכרמל,מעייני הישועה,שערי צדק,בני ציון,נהריה,יוספטל,המרכזי בעמק,זיו צפת,נצרת,ברזילי,מ.ר. צפון (פוריה),שיבא,שמיר
236,שערי צדק,שיבא,מעייני הישועה,אסותא אשדוד,שמיר,רבין ק. בילינסון,וולפסון,סוראסקי,רבין ק. השרון,הדסה,בני ציון,סורוקה,הכרמל,קפלן,"רמב""ם",יוספטל,המרכזי בעמק,לניאדו,הלל יפה,ברזילי,נהריה,מ.ר. צפון (פוריה),נצרת,זיו צפת,מאיר
237,סוראסקי,הדסה,אסותא אשדוד,הכרמל,רבין ק. השרון,"רמב""ם",וולפסון,יוספטל,בני ציון,לניאדו,שערי צדק,מעייני הישועה,שיבא,הלל יפה,סורוקה,קפלן,המרכזי בעמק,נהריה,ברזילי,מ.ר. צפון (פוריה),נצרת,זיו צפת,מאיר,שמיר,רבין ק. בילינסון
238,קפלן,"רמב""ם",הלל יפה,הכרמל,מאיר,שיבא,הדסה,רבין ק. השרון,לניאדו,סוראסקי,שמיר,מעייני הישועה,בני ציון,סורוקה,שערי צדק,יוספטל,המרכזי בעמק,רבין ק. בילינסון,אסותא אשדוד,נהריה,נצרת,ברזילי,זיו צפת,מ.ר. צפון (פוריה),וולפסון
239,וולפסון,הלל יפה,רבין ק. בילינסון,שיבא,סוראסקי,"רמב""ם",רבין ק. השרון,קפלן,אסותא אשדוד,שמיר,הכרמל,מעייני הישועה,סורוקה,יוספטל,הדסה,שערי צדק,בני ציון,נהריה,המרכזי בעמק,לניאדו,ברזילי,נצרת,זיו צפת,מ.ר. צפון (פוריה),מאיר
240,סוראסקי,וולפסון,שמיר,"רמב""ם",מאיר,רבין ק. השרון,הלל יפה,קפלן,אסותא אשדוד,המרכזי בעמק,בני ציון,שערי צדק,שיבא,הדסה,מעייני הישועה,סורוקה,יוספטל,לניאדו,ברזילי,נהריה,נצרת,מ.ר. צפון (פוריה),זיו צפת,רבין ק. בילינסון,הכרמל
241,הדסה,שערי צדק,וולפסון,מאיר,סוראסקי,רבין ק. בילינסון,"רמב""ם",שיבא,שמיר,יוספטל,הלל יפה,מעייני הישועה,אסותא אשדוד,רבין ק. השרון,הכרמל,לניאדו,המרכזי בעמק,סורוקה,נצרת,קפלן,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,בני ציון
242,הדסה,מאיר,המרכזי בעמק,הכרמל,קפלן,"רמב""ם",שיבא,אסותא אשדוד,וולפסון,הלל יפה,רבין ק. השרון,ברזילי,מעייני הישועה,נהריה,שערי צדק,בני ציון,סורוקה,יוספטל,נצרת,לניאדו,מ.ר. צפון (פוריה),זיו צפת,סוראסקי,שמיר,רבין ק. בילינסון
243,רבין ק. בילינסון,שמיר,וולפסון,"רמב""ם",קפלן,בני ציון,הכרמל,רבין ק. השרון,סוראסקי,שיבא,מעייני הישועה,הלל יפה,הדסה,שערי צדק,סורוקה,יוספטל,נצרת,אסותא אשדוד,המרכזי בעמק,לניאדו,נהריה,ברזילי,זיו צפת,מ.ר. צפון (פוריה),מאיר
244,"רמב""ם",וולפסון,אסותא אשדוד,שיבא,רבין ק. בילינסון,מאיר,הדסה,סורוקה,הלל יפה,שמיר,קפלן,מעייני הישועה,המרכזי בעמק,בני ציון,רבין ק. השרון,סוראסקי,יוספטל,ברזילי,שערי צדק,לניאדו,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,הכרמל
245,שמיר,הדסה,הכרמל,שערי צדק,וולפסון,סוראסקי,לניאדו,שיבא,מאיר,הלל יפה,קפלן,המרכזי בעמק,"רמב""ם",סורוקה,יוספטל,מעייני הישועה,בני ציון,ברזילי,רבין ק. בילינסון,אסותא אשדוד,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,רבין ק. השרון
246,וולפסון,"רמב""ם",אסותא אשדוד,רבין ק. השרון,מאיר,שיבא,סוראסקי,הדסה,סורוקה,הלל יפה,שמיר,בני ציון,מעייני הישועה,הכרמל,יוספטל,שערי צדק,המרכזי בעמק,זיו צפת,לניאדו,מ.ר. צפון (פוריה),נצרת,ברזילי,נהריה,רבין ק. בילינסון,קפלן
247,סוראסקי,הדסה,שערי צדק,רבין ק. השרון,שיבא,רבין ק. בילינסון,קפלן,הכרמל,"רמב""ם",הלל יפה,בני ציון,שמיר,סורוקה,אסותא אשדוד,המרכזי בעמק,לניאדו,מעייני הישועה,יוספטל,נצרת,ברזילי,מ.ר. צפון (פוריה),נהריה,זיו צפת,וולפסון,מאיר
248,מאיר,הדסה,רבין ק. בילינסון,שיבא,וולפסון,רבין ק. השרון,אסותא אשדוד,שמיר,קפלן,מעייני הישועה,"רמב""ם",שערי צדק,הלל יפה,הכרמל,סורוקה,יוספטל,בני ציון,נצרת,לניאדו,ברזילי,נהריה,המרכזי בעמק,זיו צפת,מ.ר. צפון (פוריה),סוראסקי
249,"רמב""ם",הלל יפה,סוראסקי,מאיר,הכרמל,רבין ק. בילינסון,וולפסון,יוספטל,אסותא אשדוד,סורוקה,המרכזי בעמק,הדסה,קפלן,לניאדו,בני ציון,שיבא,רבין ק. השרון,שערי צדק,נצרת,מעייני הישועה,מ.ר. צפון (פוריה),ברזילי,נהריה,זיו צפת,שמיר
250,בני ציון,סוראסקי,רבין ק. בילינסון,מאיר,לניאדו,הכרמל,שיבא,"רמב""ם",שמיר,רבין ק. השרון,הלל יפה,וולפסון,אסותא אשדוד,סורוקה,קפלן,יוספטל,המרכזי בעמק,הדסה,נצרת,מעייני הישועה,ברזילי,נהריה,זיו צפת,מ.ר. צפון (פוריה),שערי צדק
251,וולפסון,שיבא,רבין ק. בילינסון,הכרמל,קפלן,מאיר,סוראסקי,שמיר,אסותא אשדוד,בני ציון,יוספטל,"רמב""ם",סורוקה,הלל יפה,שערי צדק,המרכזי בעמק,רבין ק. השרון,לניאדו,מעייני הישועה,זיו צפת,נצרת,ברזילי,מ.ר. צפון (פוריה),נהריה,הדסה
252,רבין ק. בילינסון,יוספטל,המרכזי בעמק,שמיר,מאיר,אסותא אשדוד,הכרמל,וולפסון,מעייני הישועה,הלל יפה,שערי צדק,"רמב""ם",הדסה,סורוקה,בני ציון,לניאדו,קפלן,רבין ק. השרון,מ.ר. צפון (פוריה),נצרת,נהריה,ברזילי,זיו צפת,שיבא,סוראסקי
253,אסותא אשדוד,וולפסון,מאיר,בני ציון,הכרמל,רבין ק. השרון,שערי צדק,שמיר,לניאדו,קפלן,"רמב""ם",הדסה,הלל יפה,נהריה,רבין ק. בילינסון,יוספטל,סורוקה,המרכזי בעמק,מעייני הישועה,ברזילי,נצרת,זיו צפת,מ.ר. צפון (פוריה),שיבא,סוראסקי
254,רבין ק. בילינסון,הלל יפה,בני ציון,סוראסקי,מאיר,אסותא אשדוד,קפלן,שמיר,וולפסון,לניאדו,הדסה,רבין ק. השרון,סורוקה,הכרמל,שערי צדק,המרכזי בעמק,נהריה,יוספטל,מעייני הישועה,מ.ר. צפון (פוריה),נצרת,ברזילי,זיו צפת,"רמב""ם",שיבא
255,שיבא,וולפסון,בני ציון,קפלן,רבין ק. השרון,סוראסקי,רבין ק. בילינסון,מאיר,הלל יפה,"רמב""ם",שמיר,אסותא אשדוד,מעייני הישועה,הכרמל,הדסה,המרכזי בעמק,שערי צדק,יוספטל,לניאדו,סורוקה,נצרת,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת
256,וולפסון,"רמב""ם",מאיר,רבין ק. בילינסון,סוראסקי,שיבא,שמיר,אסותא אשדוד,מעייני הישועה,קפלן,הלל יפה,הכרמל,שערי צדק,יוספטל,סורוקה,לניאדו,המרכזי בעמק,הדסה,בני ציון,נצרת,נהריה,ברזילי,מ.ר. צפון (פוריה),זיו צפת,רבין ק. השרון
257,רבין ק. בילינסון,וולפסון,קפלן,שיבא,סוראסקי,מאיר,אסותא אשדוד,שמיר,רבין ק. השרון,"רמב""ם",סורוקה,הלל יפה,בני ציון,הכרמל,הדסה,שערי צדק,המרכזי בעמק,לניאדו,מעייני הישועה,זיו צפת,נהריה,נצרת,ברזילי,יוספטל,מ.ר. צפון (פוריה)
258,רבין ק. בילינסון,שיבא,בני ציון,וולפסון,הלל יפה,מאיר,אסותא אשדוד,קפלן,רבין ק. השרון,שמיר,הכרמל,"רמב""ם",שערי צדק,לניאדו,הדסה,סורוקה,המרכזי בעמק,יוספטל,נהריה,מעייני הישועה,נצרת,ברזילי,זיו צפת,מ.ר. צפון (פוריה),סוראסקי
259,רבין ק. בילינסון,שיבא,רבין ק. השרון,קפלן,מעייני הישועה,סורוקה,סוראסקי,הכרמל,לניאדו,אסותא אשדוד,שמיר,וולפסון,"רמב""ם",יוספטל,שערי צדק,בני ציון,המרכזי בעמק,הלל יפה,נהריה,נצרת,זיו צפת,ברזילי,מ.ר. צפון (פוריה),מאיר,הדסה
260,הדסה,וולפסון,הלל יפה,רבין ק. השרון,בני ציון,רבין ק. בילינסון,שיבא,המרכזי בעמק,מאיר,שמיר,"רמב""ם",הכרמל,יוספטל,סורוקה,אסותא אשדוד,שערי צדק,קפלן,לניאדו,נהריה,מעייני הישועה,נצרת,זיו צפת,מ.ר. צפון (פוריה),ברזילי,סוראסקי
261,סוראסקי,רבין ק. השרון,רבין ק. בילינסון,וולפסון,סורוקה,מאיר,הלל יפה,לניאדו,שיבא,קפלן,"רמב""ם",הכרמל,הדסה,אסותא אשדוד,בני ציון,נהריה,המרכזי בעמק,יוספטל,שערי צדק,מ.ר. צפון (פוריה),נצרת,ברזילי,זיו צפת,מעייני הישועה,שמיר
262,הכרמל,בני ציון,מאיר,סוראסקי,שיבא,וולפסון,שמיר,קפלן,מעייני הישועה,אסותא אשדוד,"רמב""ם",הלל יפה,סורוקה,לניאדו,הדסה,שערי צדק,המרכזי בעמק,יוספטל,מ.ר. צפון (פוריה),זיו צפת,נצרת,ברזילי,נהריה,רבין ק. השרון,רבין ק. בילינסון
263,מאיר,סוראסקי,אסותא אשדוד,שיבא,קפלן,וולפסון,הכרמל,שערי צדק,"רמב""ם",שמיר,יוספטל,הלל יפה,סורוקה,רבין ק. השרון,הדסה,מעייני הישועה,המרכזי בעמק,מ.ר. צפון (פוריה),בני ציון,לניאדו,נצרת,ברזילי,נהריה,זיו צפת,רבין ק. בילינסון
264,רבין ק. בילינסון,הכרמל,סוראסקי,וולפסון,מאיר,אסותא אשדוד,"רמב""ם",נהריה,קפלן,שיבא,הלל יפה,מעייני הישועה,המרכזי בעמק,סורוקה,שערי צדק,רבין ק. השרון,הדסה,יוספטל,לניאדו,זיו צפת,נצרת,ברזילי,מ.ר. צפון (פוריה),שמיר,בני ציון
265,מאיר,קפלן,סוראסקי,שיבא,אסותא אשדוד,מעייני הישועה,"רמב""ם",הדסה,הלל יפה,רבין ק. השרון,שמיר,הכרמל,שערי צדק,רבין ק. בילינסון,סורוקה,בני ציון,המרכזי בעמק,יוספטל,מ.ר. צפון (פוריה),לניאדו,ברזילי,נצרת,נהריה,זיו צפת,וולפסון
266,סוראסקי,שערי צדק,לניאדו,רבין ק. בילינסון,קפלן,הכרמל,רבין ק. השרון,מאיר,שמיר,הדסה,בני ציון,סורוקה,אסותא אשדוד,הלל יפה,"רמב""ם",יוספטל,שיבא,המרכזי בעמק,מעייני הישועה,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,וולפסון
267,סוראסקי,הדסה,רבין ק. בילינסון,שיבא,רבין ק. השרון,אסותא אשדוד,מאיר,סורוקה,הלל יפה,שמיר,הכרמל,"רמב""ם",מ.ר. צפון (פוריה),המרכזי בעמק,בני ציון,שערי צדק,קפלן,נצרת,מעייני הישועה,לניאדו,נהריה,ברזילי,זיו צפת,יוספטל,וולפסון
268,המרכזי בעמק,וולפסון,הכרמל,רבין ק. השרון,רבין ק. בילינסון,אסותא אשדוד,סוראסקי,קפלן,מאיר,שערי צדק,"רמב""ם",בני ציון,לניאדו,שמיר,סורוקה,מעייני הישועה,יוספטל,הדסה,ברזילי,זיו צפת,נהריה,נצרת,מ.ר. צפון (פוריה),שיבא,הלל יפה
269,בני ציון,הדסה,רבין ק. השרון,סוראסקי,רבין ק. בילינסון,וולפסון,קפלן,אסותא אשדוד,"רמב""ם",מאיר,שמיר,הכרמל,שערי צדק,לניאדו,יוספטל,המרכזי בעמק,הלל יפה,מעייני הישועה,סורוקה,מ.ר. צפון (פוריה),נצרת,ברזילי,נהריה,זיו צפת,שיבא
270,סוראסקי,שמיר,רבין ק. בילינסון,"רמב""ם",קפלן,רבין ק. השרון,מאיר,מעייני הישועה,אסותא אשדוד,סורוקה,הכרמל,יוספטל,הדסה,שערי צדק,בני ציון,הלל יפה,המרכזי בעמק,וולפסון,ברזילי,לניאדו,נצרת,מ.ר. צפון (פוריה),נהריה,זיו צפת,שיבא
271,קפלן,שמיר,שיבא,סוראסקי,מאיר,וולפסון,אסותא אשדוד,לניאדו,הלל יפה,"רמב""ם",מעייני הישועה,הדסה,הכרמל,רבין ק. השרון,בני ציון,שערי צדק,המרכזי בעמק,יוספטל,סורוקה,ברזילי,נצרת,זיו צפת,נהריה,מ.ר. צפון (פוריה),רבין ק. בילינסון
272,נהריה,הדסה,סוראסקי,וולפסון,הלל יפה,יוספטל,רבין ק. השרון,מאיר,אסותא אשדוד,הכרמל,שמיר,קפלן,סורוקה,בני ציון,שערי צדק,המרכזי בעמק,"רמב""ם",מעייני הישועה,מ.ר. צפון (פוריה),לניאדו,נצרת,ברזילי,זיו צפת,שיבא,רבין ק. בילינסון
273,סוראסקי,"רמב""ם",וולפסון,שיבא,הכרמל,רבין ק. בילינסון,רבין ק. השרון,אסותא אשדוד,מעייני הישועה,סורוקה,הלל יפה,שערי צדק,בני ציון,הדסה,לניאדו,המרכזי בעמק,יוספטל,ברזילי,נצרת,מ.ר. צפון (פוריה),נהריה,קפלן,זיו צפת,שמיר,מאיר
274,סוראסקי,הדסה,לניאדו,רבין ק. בילינסון,שיבא,וולפסון,מאיר,הכרמל,רבין ק. השרון,קפלן,מעייני הישועה,סורוקה,שמיר,אסותא אשדוד,בני ציון,נצרת,הלל יפה,שערי צדק,יוספטל,המרכזי בעמק,ברזילי,נהריה,מ.ר. צפון (פוריה),זיו צפת,"רמב""ם"
275,אסותא אשדוד,וולפסון,רבין ק. בילינסון,מאיר,בני ציון,קפלן,שמיר,סוראסקי,שיבא,הלל יפה,הכרמל,הדסה,"רמב""ם",יוספטל,שערי צדק,המרכזי בעמק,מעייני הישועה,נהריה,סורוקה,לניאדו,ברזילי,זיו צפת,נצרת,מ.ר. צפון (פוריה),רבין ק. השרון
276,המרכזי בעמק,יוספטל,רבין ק. השרון,רבין ק. בילינסון,וולפסון,מאיר,סוראסקי,שמיר,אסותא אשדוד,בני ציון,מעייני הישועה,ברזילי,"רמב""ם",הכרמל,קפלן,הלל יפה,זיו צפת,לניאדו,סורוקה,נצרת,נהריה,מ.ר. צפון (פוריה),שערי צדק,שיבא,הדסה
277,סוראסקי,וולפסון,בני ציון,סורוקה,שמיר,מאיר,שיבא,המרכזי בעמק,לניאדו,אסותא אשדוד,מעייני הישועה,קפלן,הכרמל,שערי צדק,הדסה,יוספטל,"רמב""ם",רבין ק. השרון,הלל יפה,נהריה,נצרת,ברזילי,מ.ר. צפון (פוריה),זיו צפת,רבין ק. בילינסון
278,קפלן,סוראסקי,וולפסון,שיבא,שמיר,רבין ק. בילינסון,"רמב""ם",הדסה,אסותא אשדוד,מאיר,יוספטל,סורוקה,הכרמל,לניאדו,שערי צדק,המרכזי בעמק,בני ציון,מעייני הישועה,זיו צפת,מ.ר. צפון (פוריה),נצרת,ברזילי,נהריה,רבין ק. השרון,הלל יפה
